monthly gross income,net income,social security payments,income tax
0,0.00,0.00,0.00
100,79.43,20.58,0.00
200,158.85,41.15,0.00
300,238.28,61.73,0.00
400,317.70,82.30,0.00
500,397.13,102.88,0.00
600,476.55,123.45,0.00
700,555.98,144.03,0.00
800,635.40,164.60,0.00
900,714.83,185.18,0.00
1000,794.25,205.75,0.00
1100,873.68,226.33,0.00
1200,953.10,246.90,0.00
1300,1032.53,267.48,0.00
1400,1111.95,288.05,0.00
1500,1178.63,308.63,12.75
1600,1242.64,329.20,28.16
1700,1305.82,349.78,44.41
1800,1368.24,370.35,61.41
1900,1429.00,390.93,80.08
2000,1488.84,411.50,99.66
2100,1548.43,432.08,119.50
2200,1607.69,452.65,139.66
2300,1666.62,473.23,160.16
2400,1725.29,493.80,180.91
2500,1783.63,514.38,202.00
2600,1841.64,534.95,223.41
2700,1899.40,555.53,245.08
2800,1956.82,576.10,267.08
2900,2013.92,596.68,289.41
3000,2070.75,617.25,312.00
3100,2127.27,637.83,334.91
3200,2183.52,658.40,358.08
3300,2239.45,678.98,381.58
3400,2295.04,699.55,405.41
3500,2350.30,720.13,429.58
3600,2405.30,740.70,454.00
3700,2460.07,761.28,478.66
3800,2514.40,781.85,503.75
3900,2568.50,802.43,529.08
4000,2622.34,823.00,554.66
4100,2675.77,843.58,580.66
4200,2729.02,864.15,606.83
4300,2781.87,884.73,633.41
4400,2834.45,905.30,660.25
4500,2886.72,925.88,687.41
4600,2938.72,946.45,714.83
4700,2990.32,967.03,742.66
4800,3041.74,987.60,770.66
4900,3092.75,1008.18,799.08
5000,3144.34,1027.50,828.16
5100,3201.32,1038.10,860.58
5200,3257.80,1048.70,893.50
5300,3314.04,1059.30,926.66
5400,3369.77,1069.90,960.33
5500,3425.25,1080.50,994.25
5600,3480.32,1091.10,1028.58
5700,3534.97,1101.70,1063.33
5800,3589.20,1112.30,1098.50
5900,3643.10,1122.90,1134.00
6000,3696.67,1133.50,1169.83
6100,3749.82,1144.10,1206.08
6200,3802.55,1154.70,1242.75
6300,3854.95,1165.30,1279.75
6400,3906.94,1175.90,1317.16
6500,3958.50,1186.50,1355.00
6600,4009.90,1197.10,1393.00
6700,4061.14,1207.70,1431.16
6800,4111.58,1218.30,1470.12
6900,4158.37,1228.90,1512.73
7000,4205.16,1239.50,1555.34
7100,4251.94,1250.10,1597.96
7200,4309.32,1250.10,1640.58
7300,4366.71,1250.10,1683.19
7400,4419.71,1250.10,1730.19
7500,4472.72,1250.10,1777.18
7600,4525.72,1250.10,1824.18
7700,4578.72,1250.10,1871.18
7800,4631.72,1250.10,1918.18
7900,4684.72,1250.10,1965.18
8000,4737.73,1250.10,2012.17
8100,4790.73,1250.10,2059.17
8200,4843.73,1250.10,2106.17
8300,4896.73,1250.10,2153.17
8400,4949.73,1250.10,2200.17
8500,5002.74,1250.10,2247.16
8600,5055.74,1250.10,2294.16
8700,5108.74,1250.10,2341.16
8800,5161.74,1250.10,2388.16
8900,5214.74,1250.10,2435.16
9000,5267.75,1250.10,2482.15
9100,5320.75,1250.10,2529.15
9200,5373.75,1250.10,2576.15
9300,5426.75,1250.10,2623.15
9400,5479.75,1250.10,2670.15
9500,5532.76,1250.10,2717.14
9600,5585.76,1250.10,2764.14
9700,5638.76,1250.10,2811.14
