monthly gross income,net income,social security payments,income tax
0,0.00,0.00,0.00
100,79.00,21.00,0.00
200,158.00,42.00,0.00
300,237.00,63.00,0.00
400,316.00,84.00,0.00
500,395.00,105.00,0.00
600,474.00,126.00,0.00
700,553.00,147.00,0.00
800,632.00,168.00,0.00
900,711.00,189.00,0.00
1000,790.00,210.00,0.00
1100,869.00,231.00,0.00
1200,948.00,252.00,0.00
1300,1025.84,273.00,1.16
1400,1091.34,294.00,14.66
1500,1154.67,315.00,30.33
1600,1216.67,336.00,47.33
1700,1278.42,357.00,64.58
1800,1338.59,378.00,83.41
1900,1398.09,399.00,102.91
2000,1457.25,420.00,122.75
2100,1516.17,441.00,142.83
2200,1574.75,462.00,163.25
2300,1633.09,483.00,183.91
2400,1691.00,504.00,205.00
2500,1748.67,525.00,226.33
2600,1806.09,546.00,247.91
2700,1863.17,567.00,269.83
2800,1920.00,588.00,292.00
2900,1976.42,609.00,314.58
3000,2032.59,630.00,337.41
3100,2088.50,651.00,360.50
3200,2144.09,672.00,383.91
3300,2199.34,693.00,407.66
3400,2254.34,714.00,431.66
3500,2309.00,735.00,456.00
3600,2363.42,756.00,480.58
3700,2417.50,777.00,505.50
3800,2471.25,798.00,530.75
3900,2524.75,819.00,556.25
4000,2577.92,840.00,582.08
4100,2630.84,861.00,608.16
4200,2683.42,882.00,634.58
4300,2735.67,903.00,661.33
4400,2787.67,924.00,688.33
4500,2839.34,945.00,715.66
4600,2890.67,966.00,743.33
4700,2941.75,987.00,771.25
4800,2992.59,1008.00,799.41
4900,3043.09,1029.00,827.91
5000,3094.05,1048.70,857.25
5100,3150.70,1059.30,890.00
5200,3206.85,1069.90,923.25
5300,3262.75,1080.50,956.75
5400,3318.15,1091.10,990.75
5500,3373.22,1101.70,1025.08
5600,3427.95,1112.30,1059.75
5700,3482.27,1122.90,1094.83
5800,3536.25,1133.50,1130.25
5900,3589.82,1144.10,1166.08
6000,3642.97,1154.70,1202.33
6100,3695.79,1165.30,1238.91
6200,3748.19,1175.90,1275.91
6300,3800.17,1186.50,1313.33
6400,3851.90,1197.10,1351.00
6500,3903.22,1207.70,1389.08
6600,3954.54,1218.30,1427.16
6700,4005.46,1228.90,1465.64
6800,4052.16,1239.50,1508.34
6900,4099.03,1250.10,1550.87
7000,4145.72,1260.70,1593.58
7100,4192.51,1271.30,1636.19
7200,4249.89,1271.30,1678.81
7300,4307.28,1271.30,1721.42
7400,4360.28,1271.30,1768.42
7500,4413.28,1271.30,1815.42
7600,4466.28,1271.30,1862.42
7700,4519.28,1271.30,1909.42
7800,4572.29,1271.30,1956.41
7900,4625.29,1271.30,2003.41
8000,4678.29,1271.30,2050.41
8100,4731.29,1271.30,2097.41
8200,4784.29,1271.30,2144.41
8300,4837.30,1271.30,2191.40
8400,4890.30,1271.30,2238.40
8500,4943.30,1271.30,2285.40
8600,4996.30,1271.30,2332.40
8700,5049.30,1271.30,2379.40
8800,5102.31,1271.30,2426.39
8900,5155.31,1271.30,2473.39
9000,5208.31,1271.30,2520.39
9100,5261.31,1271.30,2567.39
9200,5314.31,1271.30,2614.39
9300,5367.32,1271.30,2661.38
9400,5420.32,1271.30,2708.38
9500,5473.32,1271.30,2755.38
9600,5526.32,1271.30,2802.38
9700,5579.32,1271.30,2849.38
9800,5633.96,1271.30,2894.74
9900,5689.65,1271.30,2939.05
10000,5745.34,1271.30,2983.36
10100,5801.03,1271.30,3027.67
10200,5856.72,1271.30,3071.98
10300,5912.41,1271.30,3116.29
10400,5968.10,1271.30,3160.60
10500,6023.79,1271.30,3204.91
10600,6079.48,1271.30,3249.22
10700,6135.17,1271.30,3293.53
10800,6190.86,1271.30,3337.84
10900,6246.55,1271.30,3382.15
11000,6302.24,1271.30,3426.46
11100,6357.93,1271.30,3470.77
11200,6413.62,1271.30,3515.08
11300,6469.31,1271.30,3559.39
11400,6525.00,1271.30,3603.70
11500,6580.69,1271.30,3648.01
11600,6636.38,1271.30,3692.32
11700,6692.07,1271.30,3736.63
11800,6747.76,1271.30,3780.94
11900,6803.45,1271.30,3825.25
12000,6859.14,1271.30,3869.56
12100,6914.83,1271.30,3913.87
12200,6970.52,1271.30,3958.18
12300,7026.21,1271.30,4002.49
12400,7081.90,1271.30,4046.80
12500,7137.59,1271.30,4091.11
12600,7193.28,1271.30,4135.42
12700,7248.97,1271.30,4179.73
12800,7304.66,1271.30,4224.04
12900,7360.35,1271.30,4268.35
13000,7416.04,1271.30,4312.66
13100,7471.73,1271.30,4356.97
13200,7527.42,1271.30,4401.28
13300,7583.11,1271.30,4445.59
13400,7638.80,1271.30,4489.90
13500,7694.49,1271.30,4534.21
13600,7750.18,1271.30,4578.52
13700,7805.87,1271.30,4622.83
13800,7861.56,1271.30,4667.14
13900,7917.25,1271.30,4711.45
14000,7972.94,1271.30,4755.76
14100,8028.63,1271.30,4800.07
14200,8084.32,1271.30,4844.38
14300,8140.01,1271.30,4888.69
14400,8195.70,1271.30,4933.00
14500,8251.39,1271.30,4977.31
14600,8307.08,1271.30,5021.62
14700,8362.77,1271.30,5065.93
14800,8418.46,1271.30,5110.24
14900,8474.15,1271.30,5154.55
15000,8529.84,1271.30,5198.86
15100,8585.53,1271.30,5243.17
15200,8641.22,1271.30,5287.48
15300,8696.91,1271.30,5331.79
15400,8752.60,1271.30,5376.10
15500,8808.29,1271.30,5420.41
15600,8863.98,1271.30,5464.72
15700,8919.67,1271.30,5509.03
15800,8975.36,1271.30,5553.34
15900,9031.05,1271.30,5597.65
16000,9086.74,1271.30,5641.96
16100,9142.43,1271.30,5686.27
16200,9198.12,1271.30,5730.58
16300,9253.81,1271.30,5774.89
16400,9309.50,1271.30,5819.20
16500,9365.19,1271.30,5863.51
16600,9420.88,1271.30,5907.82
16700,9476.57,1271.30,5952.13
16800,9532.26,1271.30,5996.44
16900,9587.95,1271.30,6040.75
17000,9643.64,1271.30,6085.06
17100,9699.33,1271.30,6129.37
17200,9755.02,1271.30,6173.68
17300,9810.71,1271.30,6217.99
17400,9866.40,1271.30,6262.30
17500,9922.09,1271.30,6306.61
17600,9977.78,1271.30,6350.92
17700,10033.47,1271.30,6395.23
17800,10089.16,1271.30,6439.54
17900,10144.85,1271.30,6483.85
18000,10200.54,1271.30,6528.16
18100,10256.23,1271.30,6572.47
18200,10311.92,1271.30,6616.78
18300,10367.61,1271.30,6661.09
18400,10423.30,1271.30,6705.40
18500,10478.99,1271.30,6749.71
18600,10534.68,1271.30,6794.02
18700,10590.37,1271.30,6838.33
18800,10646.06,1271.30,6882.64
18900,10701.75,1271.30,6926.95
19000,10757.44,1271.30,6971.26
19100,10813.13,1271.30,7015.57
19200,10868.82,1271.30,7059.88
19300,10924.51,1271.30,7104.19
19400,10980.20,1271.30,7148.50
19500,11035.89,1271.30,7192.81
19600,11091.58,1271.30,7237.12
19700,11147.27,1271.30,7281.43
19800,11202.96,1271.30,7325.74
19900,11258.65,1271.30,7370.05
20000,11314.34,1271.30,7414.36
20100,11370.03,1271.30,7458.67
20200,11425.72,1271.30,7502.98
20300,11481.41,1271.30,7547.29
20400,11537.10,1271.30,7591.60
20500,11592.79,1271.30,7635.91
20600,11648.48,1271.30,7680.22
20700,11704.17,1271.30,7724.53
20800,11759.86,1271.30,7768.84
20900,11815.55,1271.30,7813.15
21000,11871.24,1271.30,7857.46
21100,11926.93,1271.30,7901.77
21200,11982.62,1271.30,7946.08
21300,12038.31,1271.30,7990.39
21400,12094.00,1271.30,8034.70
21500,12149.69,1271.30,8079.01
21600,12205.38,1271.30,8123.32
21700,12261.07,1271.30,8167.63
21800,12316.76,1271.30,8211.94
21900,12372.45,1271.30,8256.25
22000,12428.14,1271.30,8300.56
22100,12483.83,1271.30,8344.87
22200,12539.52,1271.30,8389.18
22300,12595.21,1271.30,8433.49
22400,12650.90,1271.30,8477.80
22500,12706.59,1271.30,8522.11
22600,12762.28,1271.30,8566.42
22700,12817.97,1271.30,8610.73
22800,12873.66,1271.30,8655.04
22900,12929.35,1271.30,8699.35
23000,12985.04,1271.30,8743.66
23100,13040.73,1271.30,8787.97
23200,13096.42,1271.30,8832.28
23300,13152.11,1271.30,8876.59
23400,13207.80,1271.30,8920.90
23500,13263.49,1271.30,8965.21
23600,13319.18,1271.30,9009.52
23700,13374.87,1271.30,9053.83
23800,13430.56,1271.30,9098.14
23900,13486.25,1271.30,9142.45
24000,13541.94,1271.30,9186.76
24100,13597.63,1271.30,9231.07
24200,13653.32,1271.30,9275.38
24300,13709.01,1271.30,9319.69
24400,13764.70,1271.30,9364.00
24500,13818.46,1271.30,9410.24
24600,13870.99,1271.30,9457.71
24700,13923.51,1271.30,9505.19
24800,13976.04,1271.30,9552.66
24900,14028.56,1271.30,9600.14
25000,14081.09,1271.30,9647.61
25100,14133.61,1271.30,9695.09
25200,14186.14,1271.30,9742.56
25300,14238.66,1271.30,9790.04
25400,14291.19,1271.30,9837.51
25500,14343.71,1271.30,9884.99
25600,14396.24,1271.30,9932.46
25700,14448.76,1271.30,9979.94
