monthly gross income,net income,social security payments,income tax
0.00,0.00,0.00,0.00
100.00,79.00,21.00,0.00
200.00,158.00,42.00,0.00
300.00,237.00,63.00,0.00
400.00,316.00,84.00,0.00
500.00,395.00,105.00,0.00
600.00,474.00,126.00,0.00
700.00,553.00,147.00,0.00
800.00,632.00,168.00,0.00
900.00,711.00,189.00,0.00
1000.00,790.00,210.00,0.00
1100.00,869.00,231.00,0.00
1200.00,948.00,252.00,0.00
1300.00,1025.84,273.00,1.16
1400.00,1091.34,294.00,14.66
1500.00,1154.67,315.00,30.33
1600.00,1216.67,336.00,47.33
1700.00,1278.42,357.00,64.58
1800.00,1338.59,378.00,83.41
1900.00,1398.09,399.00,102.91
2000.00,1457.25,420.00,122.75
2100.00,1516.17,441.00,142.83
2200.00,1574.75,462.00,163.25
2300.00,1633.09,483.00,183.91
2400.00,1691.00,504.00,205.00
2500.00,1748.67,525.00,226.33
2600.00,1806.09,546.00,247.91
2700.00,1863.17,567.00,269.83
2800.00,1920.00,588.00,292.00
2900.00,1976.42,609.00,314.58
3000.00,2032.59,630.00,337.41
3100.00,2088.50,651.00,360.50
3200.00,2144.09,672.00,383.91
3300.00,2199.34,693.00,407.66
3400.00,2254.34,714.00,431.66
3500.00,2309.00,735.00,456.00
3600.00,2363.42,756.00,480.58
3700.00,2417.50,777.00,505.50
3800.00,2471.25,798.00,530.75
3900.00,2524.75,819.00,556.25
4000.00,2577.92,840.00,582.08
4100.00,2630.84,861.00,608.16
4200.00,2683.42,882.00,634.58
4300.00,2735.67,903.00,661.33
4400.00,2787.67,924.00,688.33
4500.00,2839.34,945.00,715.66
4600.00,2890.67,966.00,743.33
4700.00,2941.75,987.00,771.25
4800.00,2992.59,1008.00,799.41
4900.00,3043.09,1029.00,827.91
5000.00,3094.05,1048.70,857.25
5100.00,3150.70,1059.30,890.00
5200.00,3206.85,1069.90,923.25
5300.00,3262.75,1080.50,956.75
5400.00,3318.15,1091.10,990.75
5500.00,3373.22,1101.70,1025.08
5600.00,3427.95,1112.30,1059.75
5700.00,3482.27,1122.90,1094.83
5800.00,3536.25,1133.50,1130.25
5900.00,3589.82,1144.10,1166.08
6000.00,3642.97,1154.70,1202.33
6100.00,3695.79,1165.30,1238.91
6200.00,3748.19,1175.90,1275.91
6300.00,3800.17,1186.50,1313.33
6400.00,3851.90,1197.10,1351.00
6500.00,3903.22,1207.70,1389.08
6600.00,3954.54,1218.30,1427.16
6700.00,4005.46,1228.90,1465.64
6800.00,4052.16,1239.50,1508.34
6900.00,4099.03,1250.10,1550.87
7000.00,4145.72,1260.70,1593.58
7100.00,4192.51,1271.30,1636.19
7200.00,4249.89,1271.30,1678.81
7300.00,4307.28,1271.30,1721.42
7400.00,4360.28,1271.30,1768.42
7500.00,4413.28,1271.30,1815.42
7600.00,4466.28,1271.30,1862.42
7700.00,4519.28,1271.30,1909.42
7800.00,4572.29,1271.30,1956.41
7900.00,4625.29,1271.30,2003.41
8000.00,4678.29,1271.30,2050.41
8100.00,4731.29,1271.30,2097.41
8200.00,4784.29,1271.30,2144.41
8300.00,4837.30,1271.30,2191.40
8400.00,4890.30,1271.30,2238.40
8500.00,4943.30,1271.30,2285.40
8600.00,4996.30,1271.30,2332.40
8700.00,5049.30,1271.30,2379.40
8800.00,5102.31,1271.30,2426.39
8900.00,5155.31,1271.30,2473.39
9000.00,5208.31,1271.30,2520.39
9100.00,5261.31,1271.30,2567.39
9200.00,5314.31,1271.30,2614.39
9300.00,5367.32,1271.30,2661.38
9400.00,5420.32,1271.30,2708.38
9500.00,5473.32,1271.30,2755.38
9600.00,5526.32,1271.30,2802.38
9700.00,5579.32,1271.30,2849.38
9800.00,5633.96,1271.30,2894.74
9900.00,5689.65,1271.30,2939.05
10000.00,5745.34,1271.30,2983.36
10100.00,5801.03,1271.30,3027.67
10200.00,5856.72,1271.30,3071.98
10300.00,5912.41,1271.30,3116.29
10400.00,5968.10,1271.30,3160.60
10500.00,6023.79,1271.30,3204.91
10600.00,6079.48,1271.30,3249.22
10700.00,6135.17,1271.30,3293.53
10800.00,6190.86,1271.30,3337.84
10900.00,6246.55,1271.30,3382.15
11000.00,6302.24,1271.30,3426.46
11100.00,6357.93,1271.30,3470.77
11200.00,6413.62,1271.30,3515.08
11300.00,6469.31,1271.30,3559.39
11400.00,6525.00,1271.30,3603.70
